# WORKFLOW: After implementing a task, run `bun run build` and fix any build errors, then `git add -A && git commit -m "description" && git push`
ID,Track,Feature,Phase,Status,Effort,Priority,Prompt
1,course_builder,"Hole mode — place tee + cup for 9 holes",core,completed,M,medium,""
2,course_builder,"Undo/redo for builder",core,completed,M,medium,""
3,course_builder,"Save/load course to localStorage",core,completed,S,high,""
4,golfer_ai,"Golfer data model + spawner",core,completed,S,high,""
5,golfer_ai,"State machine: address→swing→flight→react→walk",core,completed,L,high,""
6,golfer_ai,"Ball entity + isometric flight arc",core,completed,S,high,""
7,golfer_ai,"Stroke logic: direction, distance, skill error",core,completed,M,high,""
8,golfer_ai,"Terrain effects (rough, sand, water, trees, green)",core,completed,M,high,""
9,golfer_ai,"Putting + hole-out logic",core,completed,S,high,""
10,golfer_ai,"Hole-to-hole transition + round scoring",core,completed,M,high,""
11,golfer_ai,"Golfer personality traits + skills (long drive, putting, etc)",core,completed,M,high,""
12,golfer_ai,"Tree collision — Bresenham path trace + scatter",core,completed,S,high,""
13,golfer_ai,"Walk from clubhouse → tee → ball → clubhouse",core,completed,M,high,""
14,economy,"Green fees + round bonus + reputation scaling",core,completed,M,high,""
15,economy,"Reputation system (rolling avg, satisfaction)",core,completed,M,high,""
16,economy,"Loan system (borrow, repay, net worth)",core,completed,S,medium,""
17,buildings,"6 building types defined (clubhouse, shop, snack, bench, fountain, garden)",core,completed,S,high,""
18,buildings,"Procedural isometric building textures by category",core,completed,M,high,""
19,buildings,"Default clubhouse auto-placed, spawn from + return to it",core,completed,S,high,""
20,buildings,"Click building → tooltip (name, desc, cost, size, category)",core,completed,S,medium,""
21,buildings,"Building palette in builder paint mode",phase2,completed,M,high,"By commit 2268a3c. Buildings tab, buy/place, cost deducted, clubhouse protected."
22,buildings,"Building revenue tick (daily income)",phase2,completed,L,high,"By commit 2268a3c. 30s tick, clubhouse=$50/shop=$25/snack=$15, rep-scaled, indicator."
23,buildings,"Decor building reputation bonuses",phase2,completed,M,medium,"Cron job: processDecorBonuses() alongside revenue tick. Bench=+0.1/Fountain=+0.15/Garden=+0.2, +50% within 3 tiles of tee/cup."
24,buildings,"Building delete mode",phase2,completed,S,high,"By commit 2268a3c. Delete button in tooltip, 50% refund, clubhouse protected."
25,economy,"Day/night cycle — game time + clock UI + phases",phase2,completed,M,medium,"Cron job: gameTimeMinutes in courseStore, advanceGameTime in update(), clock UI top right in playSection, formatGameTimeDisplay helper. Split nighttime spawning + summary into task #26."
26,economy,"Night phase → day transition mechanic",phase2,completed,M,medium,"Night detection (20:00-6:00), stop spawning, wait for active golfers, day transition modal with summary. Added dailyRevenue/dailyExpenses/dailyGolfersCompleted tracking in courseStore, addRevenue/addExpense/addDailyGolferCompleted/resetDayCounters actions. checkNightPhase() in update(), day-modal overlay with Continue button. Split spawn rate tuning into #26b."
27,economy,"Expense tracking + detailed day summary breakdown",phase2,completed,S,medium,"Modified spendMoney() to increment dailyExpenses + track per-category breakdown (terrain/buildings/holes). Added dailyExpenseBreakdown Record to courseStore with categories. Updated addExpense() to accept category param. All 7 spendMoney call sites now pass category. Day summary modal shows per-category expense breakdown sorted by amount."
28,play_mode,"1:1 Challenge Mode — play as a golfer",phase2,completed,L,high,"Already implemented (sidebar button, aim+power bar, opponent tracking, course record, camera follow). Marking completed."
29,polish,"Water splash visual effect",phase3,completed,S,low,"Added triggerWaterSplash() in BuilderScene — ParticleEmitter burst of 15 blue/white particles at landing tile center when ball lands on water. Tinted from water palette (0x3a7ecf/0x6ba3e8/0x87ceeb/0xffffff), speed 40-100, angle 220-320 (upward arc), gravity 200, lifespan 400-900ms, scale fade out. One-shot via explode(), auto-destroy after 1.2s. Also added 'particle' texture (6x6 white dot) in BootScene."
30,polish,"Golfer reaction animations (celebration / frustration)",phase3,completed,S,low,"Added determineReaction() and triggerGolferReaction() methods in BuilderScene. Celebrations: scale bounce (1.3x) + green tint flash. Frustration: red tint + horizontal shake (4 repeats). Hole-complete: gold tint + triple bounce (1.5x). Pickup: orange tint + subtle bob. Par: small nod (scaleY bob). Reactions triggered from onBallLanded after state update."
31,polish,"Deploy to GitHub Pages",phase3,completed,S,medium,"Configured vite.config.ts base='/simgolf-web/', added gh-pages dependency and deploy script. Pushed to gh-pages branch via bun run deploy. Pages already configured at www.chrisbuonocore.com/simgolf-web with gh-pages branch source. Build triggered successfully."
32,polish,"Star rating UI in money bar",phase3,completed,S,low,"Already implemented — updateMoneyDisplay() renders ⭐×reputation in money bar header since an earlier commit. Marking completed."
33,economy,"Phase-based spawn rates (morning=slow, peak=fast, evening=taper)",phase2,completed,S,low,"Added updateSpawnParams() in BuilderScene that varies SPAWN_INTERVAL/MAX_GOLFERS/MIN_GOLFERS by getDayPhase(). Morning=15s/6/1, Peak=6s/10/2, Evening=12s/8/1, Night=999999/0/0. Called in update() after clock display."
34,polish,"Scene transitions — camera fade between all scenes",phase3,completed,S,low,"Added camera.fadeIn(500) on create and camera.fadeOut(400)+delayedCall before scene.start() in BootScene, TitleScene (via transitionToBuilder), and BuilderScene (return to menu). BootScene also has fade-in before transitioning to TitleScene."
